method	samples	SNVs	clusters	coverage	seed	ARI	RI	dist	recall	precision	inferred_clusters
DECIFER	2	50	4	200	16	1.0	1.0	0.006617425	1.0	1.0	4
DECIFER	2	50	4	200	17	0.822086166776	0.926530612245	0.00973818571429	1.0	0.773869346734	3
DECIFER	2	50	4	200	18	0.835297606221	0.940408163265	0.011777875	0.878892733564	0.869863013699	4
DECIFER	2	50	4	200	19	0.902675959698	0.964081632653	0.0126445833333	0.945392491468	0.908196721311	5
DECIFER	2	50	4	200	2	0.666746609299	0.875918367347	0.022600125	0.751655629139	0.746710526316	4
DECIFER	2	50	4	200	20	0.680737850302	0.882448979592	0.014309125	0.748344370861	0.768707482993	4
DECIFER	2	50	4	200	3	0.532217134565	0.820408163265	0.0183872625	0.685430463576	0.623493975904	4
DECIFER	2	50	4	200	4	1.0	1.0	0.0336775333333	1.0	1.0	5
DECIFER	2	50	4	200	5	1.0	1.0	0.00908675	1.0	1.0	4
DECIFER	2	50	4	200	6	0.804207140853	0.92	0.011644875	0.906626506024	0.817934782609	4
DECIFER	2	50	4	200	7	0.852253827106	0.93387755102	0.023610875	0.937185929648	0.869463869464	4
DECIFER	2	50	4	200	8	0.475143532177	0.8	0.0302807875	0.634551495017	0.585889570552	4
DECIFER	2	50	4	200	9	0.847904674333	0.943673469388	0.005510375	0.907849829352	0.863636363636	4
DECIFER	2	100	5	200	1	0.949994819458	0.984242424242	0.009074621	0.959793814433	0.959793814433	5
DECIFER	2	100	5	200	10	0.912209601134	0.971515151515	0.0088553	0.938938938939	0.92141453831	5
DECIFER	2	100	5	200	11	0.972286606873	0.990909090909	0.00781911	0.984267453294	0.971844660194	5
DECIFER	2	100	5	200	12	0.864521194589	0.954747474747	0.00562208	0.891531874405	0.894937917861	5
DECIFER	2	100	5	200	13	0.624862054499	0.875555555556	0.04892765	0.720197044335	0.687676387582	5
DECIFER	2	100	5	200	14	0.762541769348	0.922222222222	0.0133375	0.855371900826	0.771668219944	5
